Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_allow_single_entry,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_atr_factor_from_entry,in_trailing_stop_atr_factor,in_enable_spread_filter,in_max_spread_points,in_enable_session_filter,in_session_start_hour,in_session_end_hour,in_enable_fifty_buffer,in_fifty_buffer,in_after_tp1_mode,in_trailing_stop_atr_factor_after_tp1,in_be_offset_points
3322,99.08,475.06,1.963058,3.843649,6.440618,18.396645,0,12.3989,242,true,5,101,0.5,2.8,3.1,false,32,true,0,16,false,0.32,0,2.1,1
2687,99.08,475.06,1.963058,3.843649,6.440618,18.396645,0,12.3989,242,true,5,101,0.5,2.8,3.1,false,32,true,0,16,false,0,0,2,2
2471,99.08,475.06,1.963058,3.843649,6.440618,18.396645,0,12.3989,242,true,5,101,0.5,2.8,3.3,false,32,true,0,16,false,0,0,2,0
4132,99.84,475.04,2.189124,4.412889,11.671744,20.722495,0,7.9198,217,true,5,104,0.5,2.7,2.8,true,22,true,0,16,false,0.32,0,2.1,1
4300,99.88,474.85,2.055628,3.463809,10.300434,18.666745,0,6.3072,231,true,5,104,0.5,2.4,2.7,true,24,true,1,17,true,0.06,0,2.6,0
3172,99.83,474.65,2.511376,4.750395,11.429087,20.361888,0,8.0813,189,true,5,107,0.5,2.8,2.8,true,30,true,3,17,true,0.06,0,2.6,0
3979,99.84,474.63,2.187235,4.390214,11.661671,20.704412,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,26,true,0,16,false,0.32,0,2.1,1
4073,99.84,474.63,2.187235,4.390214,11.661671,20.704412,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,26,true,0,16,false,0,0,2,3
3738,99.84,474.63,2.187235,4.390214,11.661671,20.704412,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,22,true,0,16,false,0,0,2,0
3367,99.84,474.63,2.187235,4.390214,11.661671,20.704412,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,32,true,0,16,false,0,0,2,0
3203,99.84,474.63,2.187235,4.390214,11.661671,20.704412,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,28,true,0,16,false,0.32,0,2.1,1
2578,99.84,474.31,2.313707,4.593258,11.653808,21.495305,0,7.9198,205,true,5,103,0.5,2.4,2.7,true,34,true,0,15,true,0.06,0,2,1
3173,99.82,474.14,2.017617,3.647791,8.503228,20.650476,0,7.522,235,true,5,101,0.5,2.4,2.8,true,22,true,2,17,true,0.06,0,2.6,1
2814,99.82,474.14,2.017617,3.647791,8.503228,20.650476,0,7.522,235,true,5,101,0.5,2.4,2.8,true,22,true,2,17,true,0.06,0,2.6,0
2978,99.83,474.1,2.508466,4.73778,11.415844,20.334518,0,8.0813,189,true,5,107,0.5,2.9,2.9,true,28,true,3,17,true,0.06,0,2.6,0
4279,99.84,473.96,2.323333,4.643324,11.645209,21.596059,0,7.9198,204,true,5,102,0.5,2.3,2.3,true,40,true,0,15,true,0.06,0,3.6,1
2756,99.84,473.67,2.182811,4.383357,11.638084,20.654414,0,7.9198,217,true,5,104,0.5,2.8,3.1,false,34,true,0,16,false,0.32,0,2.1,1
3359,99.84,473.55,2.182258,4.3825,11.635135,20.647873,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,26,true,0,16,false,0.28,2,3.2,0
2435,88.14,473.53,1.610646,2.577014,4.583583,10.845781,0,11.9087,294,true,5,94,0.4,2.2,3.7,false,28,true,3,16,false,0,0,2,2
2480,88.14,473.53,1.610646,2.577014,4.583583,10.845781,0,11.9087,294,true,5,94,0.4,2.2,3.7,false,28,true,3,16,false,0,0,2,3
2483,88.14,473.53,1.610646,2.577014,4.583583,10.845781,0,11.9087,294,true,5,94,0.4,2.2,3.7,false,28,true,3,16,false,0,2,3.1,1
1766,88.14,473.53,1.610646,2.577014,4.583583,10.845781,0,11.9087,294,true,5,94,0.4,2.2,3.7,false,28,true,3,16,false,0,0,2,0
2706,99.78,473.4,2.040517,3.675332,9.188665,15.849268,0,7.4324,232,true,5,107,0.5,2.8,3.1,false,32,true,0,17,false,0.1,1,3.5,1
2527,99.78,473.4,2.040517,3.675332,9.188665,15.849268,0,7.4324,232,true,5,107,0.5,2.8,3.1,false,32,true,0,17,false,0.18,1,2.1,1
2650,99.83,473.39,2.504709,4.740439,11.398748,20.301905,0,8.0813,189,true,5,107,0.5,2.8,3.1,false,32,true,3,17,true,0.06,0,2.6,0
3194,99.82,472.85,2.012128,3.670262,8.612933,20.798496,0,7.4194,235,true,5,100,0.5,2.3,3,true,30,true,2,17,true,0.06,0,2.6,0
3931,99.81,472.44,2.010383,3.623938,8.50018,20.451454,0,7.555,235,true,5,101,0.5,2.3,3.1,false,22,true,2,17,true,0.06,0,2.6,0
2757,99.78,472.35,2.035991,3.653652,9.146979,15.746964,0,7.4587,232,true,5,107,0.5,2.9,2.9,true,40,true,0,17,false,0.1,1,3.5,1
4099,99.84,472.35,2.176728,4.373929,11.605651,20.437771,0,7.9198,217,true,5,104,0.5,2.8,2.6,true,26,true,0,16,false,0.08,2,3.8,0
4320,99.84,471.99,2.175069,4.397567,11.596806,20.641081,0,7.9198,217,true,5,104,0.5,2.5,2.8,true,32,true,0,16,false,0,0,2,3
2741,99.84,471.9,2.301951,4.414616,11.594595,21.081219,0,7.9198,205,true,5,103,0.5,2.3,3.1,true,32,true,0,16,true,0.08,2,2.4,1
2719,99.76,471.5,2.014957,3.576784,9.039494,17.852746,0,7.0031,234,true,5,107,0.5,2.3,2,false,28,true,0,17,true,0.06,0,2.6,0
3983,99.84,471.2,2.122523,4.243839,11.577396,21.270489,0,7.9198,222,true,5,102,0.5,2.8,3.1,true,32,true,0,16,false,0,0,2,3
2293,94.05,470.86,2.465236,2.908247,3.518081,10.283124,0,17.435,191,true,5,107,0.3,2.9,2,true,34,true,9,15,false,0.3,1,3.5,1
3395,99.93,470.7,2.284951,4.358784,11.175214,21.086998,0,5.9492,206,true,5,102,0.5,2.3,2.3,true,40,true,0,16,true,0.08,2,3.2,2
1697,78.49,470.67,1.523204,2.435495,3.282218,8.629357,0,19.3043,309,true,5,104,0.4,2.8,2.6,false,34,true,4,16,true,0,2,2.5,1
2644,99.46,470.5,1.912602,3.780733,7.189792,18.553787,0,11.0115,246,true,5,100,0.5,2.8,3.3,false,32,true,0,16,false,0,0,2,0
3032,99.84,470.41,2.294683,4.385462,11.557985,20.985413,0,7.9198,205,true,5,103,0.5,2.4,2.7,false,24,true,0,16,true,0.08,2,3.2,3
2572,97.98,470.32,1.371195,2.507291,3.993547,12.422749,0,10.8806,343,true,5,100,0.4,2.8,3.3,false,32,true,0,15,false,0.3,1,3.5,1
4232,99.84,470.19,2.249713,4.452456,11.55258,22.388575,0,7.9198,209,true,5,101,0.5,2.3,3.1,true,32,true,0,15,true,0.08,2,3.2,2
2626,99.84,470.19,2.249713,4.452456,11.55258,22.388575,0,7.9198,209,true,5,101,0.5,2.3,2.5,true,34,true,0,15,true,0.08,2,3.2,2
4004,99.76,469.79,2.00765,3.567439,9.00671,17.784396,0,7.0192,234,true,5,107,0.5,2.3,2.4,false,26,true,0,17,true,0.06,0,2.6,0
3604,99.76,469.79,2.00765,3.567439,9.00671,17.784396,0,7.0192,234,true,5,107,0.5,2.3,2.4,false,32,true,0,17,true,0.06,0,2.6,0
2592,99.76,469.79,2.00765,3.567439,9.00671,17.784396,0,7.0192,234,true,5,107,0.5,2.3,2.4,true,34,true,0,17,true,0.06,0,2.6,0
2863,98.68,469.59,1.964812,3.815119,5.908279,18.225644,0,13.3605,239,true,5,101,0.5,2.8,3.3,false,32,true,0,16,true,0.02,0,2.4,3
3338,99.81,469.34,1.997191,3.60672,8.444404,20.37729,0,7.555,235,true,5,101,0.5,2.3,2.5,true,26,true,2,17,true,0.06,0,2.6,3
3163,99.81,469.34,1.997191,3.60672,8.444404,20.37729,0,7.555,235,true,5,101,0.5,2.3,2.5,true,34,true,2,17,true,0.06,0,2.6,0
3290,99.81,469.34,1.997191,3.60672,8.444404,20.37729,0,7.555,235,true,5,101,0.5,2.3,2.5,true,20,true,2,17,true,0.06,0,2.6,0
3266,99.81,469.34,1.997191,3.60672,8.444404,20.37729,0,7.555,235,true,5,101,0.5,2.3,2.5,true,22,true,2,17,true,0.06,0,2.6,0
2616,99.81,469.34,1.997191,3.60672,8.444404,20.37729,0,7.555,235,true,5,101,0.5,2.3,2.5,true,26,true,2,17,true,0.06,0,2.6,0
3919,99.76,469.25,2.005342,3.564488,8.996357,17.762471,0,7.0243,234,true,5,107,0.5,2.3,2.5,true,32,true,0,17,true,0.06,0,2.6,0
3279,99.84,468.97,2.243876,4.412925,11.522604,22.232257,0,7.9198,209,true,5,101,0.5,2.4,2.8,true,32,true,0,15,true,0.08,2,3.2,2
2452,86.91,468.92,1.749701,2.427893,3.503586,9.85893,0,17.2545,268,true,5,101,0.3,2.6,3.2,true,40,true,6,15,false,0.08,0,3.4,3
2970,99.84,468.4,2.10991,4.392974,11.5086,20.024786,0,7.9198,222,true,5,104,0.5,2.8,2.6,true,32,true,2,15,false,0.08,2,2.2,3
2481,88.14,468.34,1.94332,2.688138,2.167839,11.57492,0,18.3811,241,true,5,107,0.5,2.9,2.9,false,24,true,5,21,true,0.08,2,3.7,3
3956,99.76,467.75,1.998932,3.535505,8.957296,17.71189,0,7.0357,234,true,5,107,0.5,2.4,2.5,true,34,true,0,17,true,0.06,0,2.6,0
3047,99.84,467.64,2.106486,4.387468,11.489926,19.9892,0,7.9198,222,true,5,104,0.5,2.8,2.6,true,32,true,2,15,false,0,0,2,0
1564,36.35,467.58,0.716049,1.459949,1.253868,2.960724,0,27.8189,653,true,5,92,0.3,2.9,3.6,false,34,true,3,23,false,0.5,0,3.4,2
560,36.35,467.58,0.716049,1.459949,1.253868,2.960724,0,27.8189,653,true,5,92,0.3,2.9,3.6,false,34,true,3,23,false,0.34,2,3.1,1
3555,99.84,467.32,2.173581,4.323046,11.482064,20.370171,0,7.9198,215,true,5,104,0.5,2.8,3.1,true,38,true,0,16,true,0.02,0,2.4,0
2629,99.84,467.13,2.235072,4.429988,11.477396,22.312497,0,7.9198,209,true,5,101,0.5,2.3,2.5,true,34,true,0,15,true,0.08,2,2.4,1
2703,99.84,466.68,2.102162,4.380514,11.466339,19.940506,0,7.9198,222,true,5,104,0.5,2.8,2.6,true,32,true,2,15,false,0,2,3.1,1
3642,99.76,466.49,1.993547,3.528675,8.933167,17.66156,0,7.0477,234,true,5,107,0.5,2.4,2.8,true,26,true,0,17,true,0.06,0,2.6,0
2420,99.66,466.25,2.100225,4.181508,8.005666,19.017685,0,9.8098,222,true,5,99,0.5,2.7,3.2,true,40,true,0,15,false,0,0,2,0
2392,99.66,466.25,2.100225,4.181508,8.005666,19.017685,0,9.8098,222,true,5,99,0.5,2.7,3.2,true,40,true,0,15,false,0,0,2,3
2564,97.95,466.08,1.358834,2.473678,3.930843,12.273038,0,10.9894,343,true,5,100,0.4,2.9,3.6,false,34,true,0,15,false,0,0,2.3,1
3178,99.84,465.99,2.229617,4.391238,11.449386,22.15897,0,7.9198,209,true,5,101,0.5,2.4,2.8,true,22,true,0,15,true,0.08,2,2.3,3
632,79.98,465.68,1.377751,2.159851,2.140074,7.751896,0,18.4457,338,true,5,107,0.5,2.8,3.1,true,22,false,2,21,false,0.28,1,3.8,2
4093,99.84,465.51,2.165163,4.332689,11.437592,20.352193,0,7.9198,215,true,5,104,0.5,2.5,2.8,true,32,true,0,16,true,0.02,0,2.4,0
4181,99.92,465.48,2.050573,4.30362,11.004255,22.561007,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,32,true,2,16,false,0,2,3.1,1
4062,99.92,465.48,2.050573,4.30362,11.004255,22.561007,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,28,true,2,16,false,0,2,3.1,1
4043,99.92,465.48,2.050573,4.30362,11.004255,22.561007,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,26,true,2,16,false,0.3,1,3.5,1
3861,99.92,465.48,2.050573,4.30362,11.004255,22.561007,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,28,true,2,16,false,0.3,1,3.5,1
3332,98.99,465.29,2.15412,4.071829,6.523976,19.561795,0,12.6514,216,true,5,101,0.5,2.7,2.8,true,22,true,0,16,true,0.08,2,3.2,3
2904,86.36,465.28,1.436049,2.230639,2.127675,10.054031,0,18.4702,324,true,5,104,0.5,2.3,2.3,true,26,true,1,23,false,0.04,2,3.9,0
3347,99.76,464.69,1.733918,3.119646,8.810959,18.517486,0,7.302,268,true,5,101,0.5,2.3,3.1,true,32,true,0,17,false,0,1,3.3,2
3176,99.76,464.69,1.733918,3.119646,8.810959,18.517486,0,7.302,268,true,5,101,0.5,2.3,3.8,false,24,true,0,17,false,0.18,1,2.1,1
2816,99.76,464.69,1.733918,3.119646,8.810959,18.517486,0,7.302,268,true,5,101,0.5,2.3,3.1,true,32,true,0,17,false,0.1,1,3.5,2
2647,99.76,464.69,1.733918,3.119646,8.810959,18.517486,0,7.302,268,true,5,101,0.5,2.3,2.5,true,26,true,0,17,false,0.1,1,3.5,1
2175,75.41,464.26,1.21853,1.928557,2.265235,6.457259,0,17.5289,381,true,5,94,0.4,2.2,3.7,false,28,true,3,20,true,0,0,3,0
4108,99.91,463.26,2.058933,3.890858,10.567062,20.705555,0,6.3125,225,true,5,101,0.5,2.5,3,false,32,true,0,16,true,0.06,0,2,1
3809,99.91,463.26,2.058933,3.890858,10.567062,20.705555,0,6.3125,225,true,5,101,0.5,2.5,3.3,false,32,true,0,16,true,0.06,0,2,1
3747,98.85,462.93,2.143194,4.009361,6.322453,19.402097,0,12.9885,216,true,5,101,0.5,2.9,2.9,true,40,true,0,16,true,0.08,2,3.2,3
3687,99.91,462.81,2.142639,4.072496,10.556797,21.2233,0,6.3674,216,true,5,101,0.5,2.5,2.8,true,32,true,0,16,true,0.08,2,3.2,2
3924,99.92,462.7,2.038326,4.283889,10.938534,22.493465,0,6.0355,227,true,5,101,0.5,2.8,2.1,true,26,true,2,16,false,0,0,2,3
4379,99.92,462.22,2.036211,4.280483,10.927187,22.472101,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,32,true,2,16,false,0,0,2,3
4286,99.92,462.22,2.036211,4.280483,10.927187,22.472101,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,26,true,2,16,false,0,0,2,3
4311,99.92,462.22,2.036211,4.280483,10.927187,22.472101,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,26,true,2,16,false,0.32,0,2.6,1
4280,99.92,462.22,2.036211,4.280483,10.927187,22.472101,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,28,true,2,16,false,0,0,2,0
3448,99.92,462.22,2.036211,4.280483,10.927187,22.472101,0,6.0355,227,true,5,101,0.5,2.8,2.6,true,28,true,2,16,false,0,0,3.6,1
4241,99.92,462.06,2.035507,4.131549,10.923404,20.481777,0,6.0711,227,true,5,102,0.5,2.8,2.6,true,26,true,2,16,false,0.3,1,3.5,1
4225,99.84,461.74,2.127834,4.283601,11.344963,19.865992,0,7.9198,217,true,5,105,0.5,2.5,2.8,true,32,true,0,16,false,0,0,2,0
3702,99.84,461.29,2.096773,4.326291,11.333907,19.727462,0,7.9198,220,true,5,104,0.5,2.8,2.6,true,26,true,2,15,true,0.02,0,2.4,0
2984,99.76,461.23,1.721007,3.103864,8.745355,18.433863,0,7.302,268,true,5,101,0.5,2.3,2.5,true,26,true,0,17,false,0.3,2,2.9,1
2807,99.84,460.9,2.31608,4.343489,11.324324,20.536979,0,7.9198,199,true,5,104,0.5,2.8,2.6,true,26,true,1,15,true,0.08,2,2.4,1
3232,99.84,460.36,2.073694,4.120662,11.311057,20.800179,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.08,0,3.4,3
2966,99.84,460.36,2.073694,4.120662,11.311057,20.800179,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.32,0,2.1,1
2492,99.84,460.36,2.073694,4.120662,11.311057,20.800179,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.32,0,2.6,0
3020,99.84,459.96,2.071892,4.11795,11.301229,20.777694,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0,2,3.1,1
3069,99.84,459.9,2.071622,4.117543,11.299754,20.773876,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.28,2,3.2,0
4040,99.91,459.84,2.043733,3.869516,10.489051,20.615869,0,6.3125,225,true,5,101,0.5,2.5,2.8,true,32,true,0,16,true,0.06,0,2,2
3556,99.91,459.84,2.043733,3.869516,10.489051,20.615869,0,6.3125,225,true,5,101,0.5,2.5,2.8,true,32,true,0,16,true,0.06,0,2,1
3700,99.84,459.81,2.287612,4.301335,11.297543,20.371145,0,7.9198,201,true,5,104,0.5,2.3,2,false,28,true,0,16,true,0.08,2,3.2,3
3121,99.84,459.33,2.176919,4.137071,11.285749,20.619548,0,7.9198,211,true,5,103,0.5,2.4,3.3,false,32,true,0,16,true,0.06,0,2,1
3081,99.84,459.3,2.068919,4.113476,11.285012,20.616335,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.08,2,3.8,2
4018,99.91,458.9,2.144393,4.344508,10.134717,22.621955,0,6.4427,214,true,5,101,0.5,2.8,2.6,true,28,true,2,16,true,0.06,0,2,1
3874,99.91,458.9,2.144393,4.344508,10.134717,22.621955,0,6.4427,214,true,5,101,0.5,2.8,2.6,true,26,true,2,16,true,0.06,0,2,1
4117,99.92,458.76,2.003319,4.054124,10.84539,19.72395,0,6.1793,229,true,5,103,0.5,2.8,2.6,true,26,true,2,16,false,0,0,2,3
4116,99.92,458.76,2.003319,4.054124,10.84539,19.72395,0,6.1793,229,true,5,103,0.5,2.8,2.6,true,26,true,2,16,false,0,0,2,0
2663,99.2,458.51,1.910458,3.72744,6.443367,18.591986,0,12.0429,240,true,5,100,0.5,2.8,2.2,false,32,true,0,16,true,0.02,0,2.4,3
4383,99.92,458.5,2.019824,4.107421,10.839243,20.387203,0,6.0711,227,true,5,102,0.5,2.8,2.6,true,22,true,2,16,false,0.32,0,2.1,1
4375,99.92,458.5,2.019824,4.107421,10.839243,20.387203,0,6.0711,227,true,5,102,0.5,2.8,2.6,true,22,true,2,16,false,0,0,2,0
4223,99.92,458.5,2.019824,4.107421,10.839243,20.387203,0,6.0711,227,true,5,102,0.5,2.8,2.6,true,22,true,2,16,false,0,0,2,1
3775,99.92,458.5,2.019824,4.107421,10.839243,20.387203,0,6.0711,227,true,5,102,0.5,2.8,2.6,true,22,true,2,16,false,0,0,2,3
4381,99.92,458.5,2.002183,4.052393,10.839243,19.710857,0,6.1817,229,true,5,103,0.5,2.8,2.9,true,26,true,2,16,false,0.32,0,2.6,1
4366,99.92,458.5,2.002183,4.052393,10.839243,19.710857,0,6.1817,229,true,5,103,0.5,2.8,2.9,true,26,true,2,16,false,0,0,2,3
3975,99.92,458.5,2.002183,4.052393,10.839243,19.710857,0,6.1817,229,true,5,103,0.5,2.8,2.9,true,26,true,2,16,false,0,0,2,0
1318,42.42,458.39,1.533077,1.702363,1.023146,3.030253,0,35.4191,299,true,10,94,0.4,2.7,3.3,false,24,true,0,22,false,0.1,1,2.6,3
3664,99.92,458.28,2.001223,4.050929,10.834043,19.697567,0,6.1837,229,true,5,103,0.5,2.8,2.6,true,26,true,2,16,false,0,2,3.1,1
4255,99.92,457.86,2.169953,4.114058,10.854908,20.636289,0,5.9777,211,true,5,102,0.5,2.4,2.7,false,24,true,0,16,true,0.06,0,2,0
4087,99.92,457.86,2.169953,4.114058,10.854908,20.636289,0,5.9777,211,true,5,102,0.5,2.4,2.7,false,24,true,0,16,true,0.06,0,3.6,1
3108,99.92,457.86,2.169953,4.114058,10.854908,20.636289,0,5.9777,211,true,5,102,0.5,2.4,2.7,false,24,true,0,16,true,0.06,0,2,1
1494,52.51,457.58,0.988294,1.663092,1.616548,4.097862,0,22.9619,463,true,5,100,0.4,2.8,3.3,false,32,true,3,23,false,0.04,2,3.9,0
4068,99.92,457.52,2.168341,4.122364,10.862298,20.696778,0,5.9669,211,true,5,102,0.5,2.3,2.3,true,40,true,0,16,true,0.06,0,3.6,1
3514,99.92,457.52,2.168341,4.122364,10.862298,20.696778,0,5.9669,211,true,5,102,0.5,2.3,2.3,true,40,true,0,16,true,0.06,0,2,1
2831,99.84,457.3,2.05991,4.099498,11.235872,20.435795,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.3,1,3.5,1
2870,99.84,457.3,2.05991,4.099498,11.235872,20.435795,0,7.9198,222,true,5,103,0.5,2.4,2.7,true,34,true,0,15,false,0.28,1,2.7,1
3142,99.75,457.01,1.92021,3.366334,8.228484,18.054891,0,7.6868,238,true,5,103,0.5,2.4,2.8,true,22,true,2,17,true,0.06,0,2.6,0
2545,99.75,457.01,1.92021,3.366334,8.228484,18.054891,0,7.6868,238,true,5,103,0.5,2.4,2.8,true,26,true,2,17,true,0.06,0,2.6,3
3996,99.84,456.94,2.135234,4.177608,11.227027,20.700491,0,7.9198,214,true,5,102,0.5,2.8,2.6,true,22,true,1,15,false,0,0,2,3
4387,99.92,456.75,2.039062,4.247423,10.797872,22.219099,0,6.0852,224,true,5,101,0.5,2.8,2.6,true,26,true,2,16,true,0.02,0,2.4,1
3640,99.92,456.75,2.039062,4.247423,10.797872,22.219099,0,6.0852,224,true,5,101,0.5,2.8,2.6,true,28,true,2,16,true,0.02,0,2.4,0
3926,99.91,456.16,2.009515,4.031971,10.783924,19.314363,0,6.2604,227,true,5,104,0.5,2.8,2.1,true,26,true,2,16,false,0,0,2,0
3562,99.91,456.16,2.009515,4.031971,10.783924,19.314363,0,6.2604,227,true,5,104,0.5,2.8,2.1,true,26,true,2,16,false,0.32,0,2.1,2
2914,99.84,456.14,2.092385,4.062781,11.207371,21.334996,0,7.9198,218,true,5,101,0.5,2.3,2.5,true,32,true,0,15,true,0.06,0,2,1
1271,99.84,456.14,2.092385,4.062781,11.207371,21.334996,0,7.9198,218,true,5,101,0.5,2.3,2.5,true,34,true,0,15,true,0.06,0,2,1
2357,97.44,456.07,1.480747,2.653566,3.595065,14.400803,0,11.7765,308,true,5,104,0.4,2,2,false,34,true,0,15,true,0.02,0,2.4,0
2962,99.91,456,2.008811,4.030907,10.780142,19.306125,0,6.2618,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0.08,2,2.2,3
4074,99.91,455.62,1.989607,4.032816,10.771158,19.353872,0,6.2078,229,true,5,103,0.5,2.8,2.6,true,26,true,2,16,false,0.3,1,3.5,1
4014,99.91,455.62,1.989607,4.032816,10.771158,19.353872,0,6.2078,229,true,5,103,0.5,2.8,2.6,true,26,true,2,16,false,0,1,3.6,1
1782,75.5,455.57,1.127649,1.838524,2.340337,5.638487,0,17.1107,404,true,5,99,0.4,2.5,2.7,false,34,true,4,20,false,0,0,3.9,2
3375,99.91,455.4,2.006167,4.026919,10.765957,19.278144,0,6.2674,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,true,0,2,2.5,0
3403,99.69,455.36,1.674118,3.048403,8.163499,18.209488,0,7.7169,272,true,5,100,0.5,2.3,2.5,true,32,true,0,17,false,0,1,3.3,2
4163,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,28,true,2,16,false,0,0,2,0
4199,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0,0,3.5,0
4249,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,32,true,2,16,false,0.32,0,2.6,1
4224,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,22,true,2,16,false,0,0,2,1
4095,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0,0,3.5,3
4103,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0,0,3.6,1
3896,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0.32,0,2.6,1
3771,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,32,true,2,16,false,0,0,2,2
3686,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,28,true,2,16,false,0.32,0,2.1,2
3722,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0,0,2,1
3733,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0,0,2,0
3607,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,22,true,2,16,false,0.32,0,2.1,1
3473,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,28,true,2,16,false,0,0,2,3
3388,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0,0,2,3
3256,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,22,true,2,16,false,0,0,2,0
3189,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,32,true,2,16,false,0,0,2,0
3060,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,28,true,2,16,false,0.32,0,2.1,1
2229,99.91,455.24,2.005463,4.025856,10.762175,19.270598,0,6.2689,227,true,5,104,0.5,2.8,2.6,true,26,true,2,16,false,0.32,0,2.1,1
2423,94.83,455.06,2.514144,2.958595,3.40003,10.985802,0,16.9553,181,true,5,103,0.3,3,3,true,26,true,9,15,false,0,0,2,0
2249,94.83,455.06,2.514144,2.958595,3.40003,10.985802,0,16.9553,181,true,5,103,0.3,3,3,true,26,true,9,15,false,0.08,2,3.8,2
3792,99.91,454.89,2.003921,4.035838,10.753901,19.254636,0,6.2732,227,true,5,104,0.5,2.7,2.8,true,22,true,2,16,false,0,2,3.1,1
2611,99.84,454.73,2.115023,4.078741,11.172727,20.131293,0,7.9198,215,true,5,104,0.5,2.8,2.6,true,32,true,1,15,false,0,0,3.6,1
2618,99.84,454.73,2.115023,4.078741,11.172727,20.131293,0,7.9198,215,true,5,104,0.5,2.8,2.6,true,26,true,1,15,false,0.32,0,2.1,1
2451,99.84,454.73,2.115023,4.078741,11.172727,20.131293,0,7.9198,215,true,5,104,0.5,2.8,2.6,true,32,true,1,15,false,0,0,2,0
4270,99.91,454.28,2.001233,4.019475,10.73948,19.222113,0,6.2778,227,true,5,104,0.5,2.8,2.6,true,22,true,2,16,false,0,2,3.1,1
4182,99.91,454.28,2.001233,4.019475,10.73948,19.222113,0,6.2778,227,true,5,104,0.5,2.8,2.6,true,32,true,2,16,false,0,2,3.1,2
4003,99.91,454.28,2.001233,4.019475,10.73948,19.222113,0,6.2778,227,true,5,104,0.5,2.8,2.6,true,32,true,2,16,false,0,2,3.1,1
3725,99.91,454.28,2.001233,4.019475,10.73948,19.222113,0,6.2778,227,true,5,104,0.5,2.8,2.6,true,28,true,2,16,false,0,2,3.1,1
